2021-02-04 19:02:113 INFO  BrowserSelector :18 - Launching Chrome Browser
2021-02-04 19:02:497 INFO  BrowserSelector :18 - Launching Chrome Browser
2021-02-05 09:02:533 INFO  BrowserSelector :18 - Launching Chrome Browser
2021-02-05 12:02:398 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 12:02:507 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (2f7e884ddb704e73c357eca915816c92)] -> id: keywords]
2021-02-05 12:02:637 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (2f7e884ddb704e73c357eca915816c92)] -> id: location]
2021-02-05 12:02:89 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 12:02:387 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (142d378da8db70c8a8b566d2483025b8)] -> id: keywords]
2021-02-05 12:02:516 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (142d378da8db70c8a8b566d2483025b8)] -> id: location]
2021-02-05 12:02:485 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 12:02:387 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (2f36c4bf3f7f3890e1bbf4faeeaeba1c)] -> id: keywords]
2021-02-05 12:02:505 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (2f36c4bf3f7f3890e1bbf4faeeaeba1c)] -> id: location]
2021-02-05 14:02:947 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 14:02:657 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (bce97ceeeb58db18b95b311e85ef7d7a)] -> id: keywords]
2021-02-05 14:02:785 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (bce97ceeeb58db18b95b311e85ef7d7a)] -> id: location]
2021-02-05 14:02:542 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 14:02:915 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (0294788d22beac387da57c4a64d32acc)] -> id: keywords]
2021-02-05 14:02:11 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (0294788d22beac387da57c4a64d32acc)] -> id: location]
2021-02-05 17:02:378 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 17:02:58 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (67945e52c8c39ba285e5b11624946eb3)] -> id: keywords]
2021-02-05 17:02:235 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (67945e52c8c39ba285e5b11624946eb3)] -> id: location]
2021-02-05 17:02:404 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 17:02:824 INFO  HomePage :36 - Enter job title [[ChromeDriver: chrome on WINDOWS (98a16758f0a29a69aed3e9b6e042a22c)] -> id: keywords]
2021-02-05 17:02:150 INFO  HomePage :42 - Enter location title [[ChromeDriver: chrome on WINDOWS (98a16758f0a29a69aed3e9b6e042a22c)] -> id: location]
2021-02-05 17:02:896 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 17:02:212 INFO  HomePage :37 - Enter job title [[ChromeDriver: chrome on WINDOWS (22d82db3dc0ff0f15de79ba0bba56e4b)] -> id: keywords]
2021-02-05 17:02:391 INFO  HomePage :43 - Enter location title [[ChromeDriver: chrome on WINDOWS (22d82db3dc0ff0f15de79ba0bba56e4b)] -> id: location]
2021-02-05 18:02:653 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:465 INFO  HomePage :42 - Enter job title [[ChromeDriver: chrome on WINDOWS (eadea449aba459916301145934560c39)] -> id: keywords]
2021-02-05 18:02:651 INFO  HomePage :48 - Enter location title [[ChromeDriver: chrome on WINDOWS (eadea449aba459916301145934560c39)] -> id: location]
2021-02-05 18:02:579 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:340 INFO  HomePage :42 - Enter job title [[ChromeDriver: chrome on WINDOWS (740eb8a55b99ad83412e2c067a64ca0b)] -> id: keywords]
2021-02-05 18:02:574 INFO  HomePage :48 - Enter location title [[ChromeDriver: chrome on WINDOWS (740eb8a55b99ad83412e2c067a64ca0b)] -> id: location]
2021-02-05 18:02:806 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:446 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (ebcabda12d454431b0591de94ca8a556)] -> id: keywords]
2021-02-05 18:02:560 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (ebcabda12d454431b0591de94ca8a556)] -> id: location]
2021-02-05 18:02:527 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:418 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (89803f4b2c55461f077378be16ede810)] -> id: keywords]
2021-02-05 18:02:544 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (89803f4b2c55461f077378be16ede810)] -> id: location]
2021-02-05 18:02:84 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:119 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (74a0f326006ebc7b7c5f5015225370d5)] -> id: keywords]
2021-02-05 18:02:250 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (74a0f326006ebc7b7c5f5015225370d5)] -> id: location]
2021-02-05 18:02:516 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:972 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (cc114dbc26a3756f0f0df8c5071d4604)] -> id: keywords]
2021-02-05 18:02:86 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (cc114dbc26a3756f0f0df8c5071d4604)] -> id: location]
2021-02-05 18:02:684 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:328 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (b311fa989547614e0587156327aafcbd)] -> id: keywords]
2021-02-05 18:02:476 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (b311fa989547614e0587156327aafcbd)] -> id: location]
2021-02-05 18:02:192 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:992 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (571b8443fc01a5692930c92f593eaf7a)] -> id: keywords]
2021-02-05 18:02:117 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (571b8443fc01a5692930c92f593eaf7a)] -> id: location]
2021-02-05 18:02:45 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:38 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (8d2430bfd7ed757e4a460c3ab49a4a5b)] -> id: keywords]
2021-02-05 18:02:162 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (8d2430bfd7ed757e4a460c3ab49a4a5b)] -> id: location]
2021-02-05 18:02:535 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:629 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (320d835328a67be516b0c69adfa0327c)] -> id: keywords]
2021-02-05 18:02:760 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (320d835328a67be516b0c69adfa0327c)] -> id: location]
2021-02-05 18:02:974 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 18:02:361 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (a87c01050aeab33a426191810319377a)] -> id: keywords]
2021-02-05 18:02:476 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (a87c01050aeab33a426191810319377a)] -> id: location]
